Size,Length_STD,Length_ADV,CR_STD,CR_ADV
2, 7334124, 3667062, 1.045585812293329, 2.091171624586658
3, 6417972, 3208986, 1.194840987152951, 2.389681974305902
4, 6812862, 3893064, 1.1255851065235138, 1.9697739364161493
5, 6360130, 3634360, 1.2057074305084958, 2.109988003389868
6, 5991314, 3423608, 1.279928910419317, 2.239875593233805
7, 5701990, 3258280, 1.344873631837306, 2.3535288557152856
8, 6219360, 3887100, 1.232997607470865, 1.9727961719533842
9, 5971952, 3732470, 1.284078639613982, 2.0545258233823716
10, 5740096, 3587560, 1.3359456009098105, 2.137512961455697
11, 5574048, 3483780, 1.3757427277267795, 2.201188364362847
12, 5419264, 3387040, 1.4150364329916387, 2.264058292786622
13, 5299104, 3311940, 1.447123136288701, 2.315397018061921
14, 5197744, 3248590, 1.4753431488738191, 2.3605490381981107
15, 5101216, 3188260, 1.5032603990891584, 2.405216638542653
16, 5641254, 3760836, 1.3593530800066793, 2.039029620010019
17, 5555988, 3703992, 1.380214644092104, 2.070321966138156
18, 5474394, 3649596, 1.4007862788100383, 2.1011794182150574
19, 5402412, 3601608, 1.4194504232553904, 2.1291756348830857
20, 5320350, 3546900, 1.441344272463278, 2.1620164086949165
21, 5246406, 3497604, 1.4616588956325531, 2.1924883434488294
22, 5169402, 3446268, 1.4834319327457992, 2.225147899118699
23, 5068908, 3379272, 1.5128418191847237, 2.2692627287770857
24, 5005944, 3337296, 1.5318701128098915, 2.2978051692148376
25, 4961394, 3307596, 1.5456252819268133, 2.31843792289022
26, 4919094, 3279396, 1.558916337032795, 2.3383745055491927
27, 4877352, 3251568, 1.572258061341482, 2.358387092012223
28, 4839228, 3226152, 1.5846444928819226, 2.3769667393228837
29, 4804200, 3202800, 1.5961983264643438, 2.3942974896965157
30, 4760046, 3173364, 1.6110045995353826, 2.416506899303074
31, 4726782, 3151188, 1.6223417961733797, 2.4335126942600693
32, 5215080, 3650556, 1.470438804390345, 2.1006268634147784
33, 5176660, 3623662, 1.481352068708395, 2.116217241011993
34, 5143760, 3600632, 1.4908269437143258, 2.129752776734751
35, 5112220, 3578554, 1.5000246468266232, 2.142892352609462
36, 5080920, 3556644, 1.509265251174984, 2.1560932159642627
37, 5053640, 3537548, 1.5174123997752116, 2.1677319996788738
38, 5026460, 3518522, 1.525617631494133, 2.179453759277333
39, 4998160, 3498712, 1.5342558061366582, 2.1917940087666548
40, 4970860, 3479602, 1.5426819504069718, 2.2038313577242454
41, 4947160, 3463012, 1.5500723647506853, 2.214389092500979
42, 4921380, 3444966, 1.5581922143788938, 2.225988877684134
43, 4897960, 3428572, 1.5656428390595267, 2.2366326272278956
44, 4873580, 3411506, 1.573474940392894, 2.24782134341842
45, 4850040, 3395028, 1.581111908355395, 2.2587312976505642
